a_id		w_id
a1228		w1559
a1228		w1578
a1228		w1610
a1228		w1614
a1228		w1630
a1234		w2737
a1241		w2687
a1245		w1688
a1246		w1413
a1249		w1485
a1249		w1579
a1249		w1580
a1249		w1588
a1249		w1589
a1249		w1590
a1249		w1601
a1249		w1603
a1249		w1604
a1249		w1607
a1249		w1608
a1249		w1611
a1249		w1612
a1249		w1618
a1249		w1623
a1249		w1633
a125		w609
a125		w613
a1256		w835
a1261		w1769
a1261		w1771
a1261		w1961
a1269		w3048
a1269		w3049
a1269		w3050
a1269		w3053
a1269		w3058
a1269		w3062
a1269		w3081
a1269		w3087
a1269		w3090
a1269		w3092
a1269		w3093
a1269		w3097
a1269		w3098
a1269		w3123
a1269		w3128
a1269		w3130
a1269		w3131
a1269		w3137
a1269		w3138
a1269		w3139
a1269		w3144
a1269		w3155
a1269		w3156
a1269		w3157
a1269		w3158
a1269		w3159
a1269		w3160
a1269		w3161
a1269		w3163
a1269		w3164
a1269		w3165
a1269		w3166
a1269		w3168
a1269		w3169
a1269		w3183
a1269		w3184
a1269		w3187
a1269		w3189
a1269		w3196
a1269		w3199
a1269		w3202
a1269		w3203
a1269		w3205
a1269		w3206
a1269		w3209
a1269		w3212
a1269		w3215
a1269		w3217
a1269		w3232
a1269		w3233
a1269		w3234
a1269		w3235
a1269		w3236
a1269		w3237
a1269		w3242
a1269		w3244
a1269		w3245
a1269		w3247
a1269		w3248
a1269		w3249
a1269		w3250
a1269		w3251
a1269		w3252
a1269		w3254
a1269		w3255
a1269		w3256
a1269		w3261
a1269		w3275
a1269		w3276
a1269		w3280
a1269		w3297
a1269		w3299
a1269		w3302
a1269		w3313
a1269		w3316
a1269		w3317
a1269		w3319
a1269		w3326
a1269		w3327
a1269		w3328
a1269		w3329
a1269		w3330
a1269		w3331
a1269		w3341
a1269		w3342
a1269		w3343
a1269		w3344
a1269		w3345
a1269		w3346
a1269		w3349
a1269		w3350
a1269		w3355
a1269		w3367
a1269		w3368
a1269		w3369
a1269		w3370
a1269		w3371
a1269		w3372
a1269		w3374
a1269		w3376
a1269		w3386
a1269		w3387
a1269		w3394
a1269		w3395
a1269		w3396
a1269		w3399
a1269		w3400
a1269		w3401
a1269		w3402
a1269		w3403
a1269		w3404
a1269		w3405
a1269		w3406
a1269		w3407
a1269		w3409
a1269		w3413
a1269		w3415
a1269		w3420
a1269		w3421
a1269		w3422
a1269		w3439
a1269		w3440
a1269		w3441
a1269		w3443
a1269		w3444
a1269		w3445
a1269		w3452
a1269		w3455
a1269		w3458
a1269		w3459
a1269		w3460
a1269		w3461
a1269		w3465
a1269		w3467
a1269		w3478
a128		w2310
a1283		w697
a1287		w224
a1287		w600
a1287		w635
a1287		w64
a1290		w823
a1292		w2638
a1294		w1741
a1294		w1783
a1294		w1856
a1294		w1913
a1294		w4574
a1294		w693
a13		w1370
a13		w609
a1303		w265
a1305		w1627
a1307		w2346
a1307		w2497
a131		w2346
a131		w2497
a1310		w2124
a1312		w2937
a1312		w2948
a1312		w2958
a1312		w2978
a1312		w2990
a1312		w3025
a1312		w3074
a1312		w3114
a1312		w3333
a1312		w3423
a1312		w3482
a1312		w3484
a1313		w2177
a1332		w72
a1336		w1387
a1336		w1392
a1336		w1400
a1336		w1412
a1336		w1415
a1336		w1419
a1336		w1426
a1336		w1440
a1336		w1443
a1336		w1459
a1336		w1467
a1336		w1480
a1336		w1487
a1336		w1488
a1336		w1493
a1336		w1497
a1336		w1501
a1336		w1510
a1336		w1511
a1336		w1514
a1336		w1519
a1336		w1524
a1336		w1536
a1336		w1540
a1336		w1541
a1336		w1543
a1336		w1544
a1336		w1545
a1336		w1547
a1336		w1548
a1336		w1549
a1336		w1550
a1336		w1553
a1336		w1554
a1336		w1555
a1336		w1557
a1336		w1560
a1336		w1561
a1336		w1562
a1336		w1563
a1336		w1564
a1336		w1567
a1336		w1568
a1336		w1569
a1336		w1570
a1336		w1572
a1336		w1573
a1336		w1575
a1336		w1576
a1336		w1580
a1336		w1581
a1336		w1582
a1336		w1583
a1336		w1588
a1336		w1590
a1336		w1601
a1336		w1602
a1336		w1603
a1336		w1604
a1336		w1607
a1336		w1608
a1336		w1611
a1336		w1612
a1336		w1618
a1336		w1623
a1341		w2749
a1341		w2938
a1341		w2999
a1345		w2289
a1347		w3047
a1347		w3048
a1347		w3049
a1347		w3050
a1347		w3051
a1347		w3052
a1347		w3053
a1347		w3054
a1347		w3057
a1347		w3058
a1347		w3059
a1347		w3060
a1347		w3061
a1347		w3062
a1347		w3063
a1347		w3064
a1347		w3065
a1347		w3066
a1347		w3080
a1347		w3081
a1347		w3082
a1347		w3083
a1347		w3084
a1347		w3085
a1347		w3086
a1347		w3087
a1347		w3088
a1347		w3089
a1347		w3090
a1347		w3091
a1347		w3092
a1347		w3093
a1347		w3094
a1347		w3096
a1347		w3097
a1347		w3098
a1347		w3123
a1347		w3124
a1347		w3125
a1347		w3126
a1347		w3127
a1347		w3128
a1347		w3129
a1347		w3130
a1347		w3131
a1347		w3137
a1347		w3138
a1347		w3139
a1347		w3140
a1347		w3141
a1347		w3142
a1347		w3143
a1347		w3144
a1347		w3155
a1347		w3156
a1347		w3157
a1347		w3158
a1347		w3159
a1347		w3160
a1347		w3161
a1347		w3162
a1347		w3163
a1347		w3164
a1347		w3165
a1347		w3166
a1347		w3167
a1347		w3168
a1347		w3169
a1347		w3182
a1347		w3183
a1347		w3184
a1347		w3185
a1347		w3186
a1347		w3187
a1347		w3188
a1347		w3189
a1347		w3190
a1347		w3191
a1347		w3192
a1347		w3193
a1347		w3194
a1347		w3195
a1347		w3196
a1347		w3197
a1347		w3198
a1347		w3199
a1347		w3200
a1347		w3201
a1347		w3202
a1347		w3203
a1347		w3204
a1347		w3205
a1347		w3206
a1347		w3207
a1347		w3208
a1347		w3209
a1347		w3210
a1347		w3211
a1347		w3212
a1347		w3213
a1347		w3214
a1347		w3215
a1347		w3216
a1347		w3217
a1347		w3232
a1347		w3233
a1347		w3234
a1347		w3235
a1347		w3236
a1347		w3237
a1347		w3241
a1347		w3242
a1347		w3243
a1347		w3244
a1347		w3245
a1347		w3246
a1347		w3247
a1347		w3248
a1347		w3249
a1347		w3250
a1347		w3251
a1347		w3252
a1347		w3253
a1347		w3254
a1347		w3255
a1347		w3256
a1347		w3257
a1347		w3258
a1347		w3259
a1347		w3260
a1347		w3261
a1347		w3262
a1347		w3263
a1347		w3264
a1347		w3265
a1347		w3266
a1347		w3267
a1347		w3268
a1347		w3269
a1347		w3275
a1347		w3276
a1347		w3277
a1347		w3278
a1347		w3279
a1347		w3280
a1347		w3281
a1347		w3282
a1347		w3283
a1347		w3297
a1347		w3298
a1347		w3299
a1347		w3300
a1347		w3301
a1347		w3302
a1347		w3303
a1347		w3304
a1347		w3305
a1347		w3313
a1347		w3314
a1347		w3315
a1347		w3316
a1347		w3317
a1347		w3318
a1347		w3319
a1347		w3320
a1347		w3321
a1347		w3326
a1347		w3327
a1347		w3328
a1347		w3329
a1347		w3330
a1347		w3331
a1347		w3341
a1347		w3342
a1347		w3343
a1347		w3344
a1347		w3345
a1347		w3346
a1347		w3347
a1347		w3348
a1347		w3349
a1347		w3350
a1347		w3351
a1347		w3352
a1347		w3353
a1347		w3354
a1347		w3355
a1347		w3367
a1347		w3368
a1347		w3369
a1347		w3370
a1347		w3371
a1347		w3372
a1347		w3373
a1347		w3374
a1347		w3375
a1347		w3376
a1347		w3377
a1347		w3378
a1347		w3379
a1347		w3380
a1347		w3381
a1347		w3382
a1347		w3383
a1347		w3384
a1347		w3385
a1347		w3386
a1347		w3387
a1347		w3388
a1347		w3389
a1347		w3390
a1347		w3394
a1347		w3395
a1347		w3396
a1347		w3399
a1347		w3400
a1347		w3401
a1347		w3402
a1347		w3403
a1347		w3404
a1347		w3405
a1347		w3406
a1347		w3407
a1347		w3409
a1347		w3410
a1347		w3411
a1347		w3413
a1347		w3414
a1347		w3415
a1347		w3416
a1347		w3417
a1347		w3420
a1347		w3421
a1347		w3422
a1347		w3439
a1347		w3440
a1347		w3441
a1347		w3443
a1347		w3444
a1347		w3445
