#a_id,w_id,product title,amazon_price,walmart_price,average battery life,brand,display resolution,hard disk size,laptop computer type,operating system,processor (cpu) manufacturer,processor count,processor speed,ram size,screen size
a103,w996,ASUS ZenBook UX303UA 13.3-Inch FHD Touchscreen Laptop Intel Core i5 8 GB RAM 256 GB SSD Windows 10 (64 bit),$729.99,$899.00,7 hours,Asus,1920*1080 pixels,256,PC,Windows 10,Intel,2,2.3 GHz,8 GB,13.3in
a1031,w4480,Acer Laptop 15.6 Intel Core i5 3.40GHz 8GB Ram 256GB SSD Windows 10 (Certified Refurbished),$463.99,$487.19,,Acer,1920 x 1080,256 GB,,Windows 10,Intel,4,1.6 GHz,8 GB,15.6in
a1036,w1803,HP Elitebook 850 G4 15.6 Notebook Windows Intel Core i5 2.5 GHz 8 GB RAM 256 GB SSD  Silver (1BS46UT#ABA),$991.01,$1620.11,14 Hours,HP,1366 x 768 pixels,0 GB,,Windows 10,Intel,2,2.5 GHz,0.1 GB,0.1in
a1036,w731,HP Elitebook 850 G4 15.6 Notebook Windows Intel Core i5 2.5 GHz 8 GB RAM 256 GB SSD  Silver (1BS46UT#ABA),$991.01,$1622.99,14 Hours,HP,1366 x 768 pixels,0 GB,,Windows 10,Intel,2,2.5 GHz,0.1 GB,0.1in
a1036,w941,HP Elitebook 850 G4 15.6 Notebook Windows Intel Core i5 2.5 GHz 8 GB RAM 256 GB SSD  Silver (1BS46UT#ABA),$991.01,$1345.00,14 Hours,HP,1366 x 768 pixels,0 GB,,Windows 10,Intel,2,2.5 GHz,0.1 GB,0.1in
a1036,w944,HP Elitebook 850 G4 15.6 Notebook Windows Intel Core i5 2.5 GHz 8 GB RAM 256 GB SSD  Silver (1BS46UT#ABA),$991.01,$1494.67,15 Hours,HP,1366 x 768 pixels,0 GB,,Windows 10,Intel,2,2.5 GHz,0.1 GB,0.1in
a1047,w1387,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$849.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1392,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$949.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1400,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$849.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1412,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$949.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
