_id,ltable_id,rtable_id,ltable_model,ltable_combo,rtable_model,rtable_combo
619,a1203,w2322,dell,2018 fhd 1080p dell inspiron 15 5000 15.6 inch touchscreen flagship laptop computer (intel core i5-8250u up to 3.4ghz 16gb ram 256gb ssd intel hd graphics 620 dvd hd webcam windows 10) dell dell windows 10,dell,refurbished dell e7240 laptop computer 256gb solid state hard drive 16gb ram core i7 2.1ghz windows 10 home grade b dell dell windows 10
650,a1228,w1455,hp pavilion,2018 flagship hp pavilion 15.6 full hd ips wled-backlit business laptop intel dual-core i7-7500u up to 3.5ghz 16gb ddr4 256gb ssd backlit keyboard 802.11ac bluetooth webcam hdmi usb type-c win 10 hp hp pavilion windows 10 home 64-bit,hp pavilion 15t,2016 newest hp pavilion 15t gaming laptop with 15.6' fhd touchscreen ( intel i5 processor 16gb ram 240gb ssd 15.6 inch fhd (1920 x 1080) touchscreen windows 10) hp hp pavilion 15t microsoft windows
680,a1241,w3137,20en-p10,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 64gb ram 1tb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo 20en-p10 windows 10 pro,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 8gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo windows 10
710,a1241,w3384,20en-p10,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 64gb ram 1tb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo 20en-p10 windows 10 pro,,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo windows 7
715,a1241,w3484,20en-p10,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 64gb ram 1tb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo 20en-p10 windows 10 pro,len-15-01217-p71me14,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 4tb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me14 microsoft windows
762,a1249,w1590,p650hs-g,prostar clevo p650hs-g vr ready gaming laptop 15.6 120hz 5ms matte display w/ nvidia g-sync intel core i7-7700hq 32gb ddr4 gtx 1070 512gb ssd 1tb hdd wi-fi + bluetooth 1-year warranty prostar p650hs-g windows 10,p650hp6-g,prostar clevo p650hp6-g vr ready gaming 15.6 fhd/ips/matte display with g-sync intel core i7-7700hq 16gb ddr4 gtx 1060 256gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar p650hp6-g microsoft windows 10 (64-bit)
771,a1249,w1623,p650hs-g,prostar clevo p650hs-g vr ready gaming laptop 15.6 120hz 5ms matte display w/ nvidia g-sync intel core i7-7700hq 32gb ddr4 gtx 1070 512gb ssd 1tb hdd wi-fi + bluetooth 1-year warranty prostar p650hs-g windows 10,p650hp6-g,prostar clevo p650hp6-g vr ready gaming 15.6 fhd/ips/matte display with g-sync intel core i7-7700hq 32gb ddr4 gtx 1060 512gb nvme ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar p650hp6-g microsoft windows 10 (64-bit)
778,a1260,w685,t8tjg,toshiba satellite 2 in 1 convertible flagship 12.5-inch ips hd touchscreen ultrabook | intel core i5-3337u | 128gb ssd | 8gb ram | gps | nfc | wifi | backlit keyboard | windows 10 toshiba t8tjg windows 8,t8tjg,dell chromebook 11 3189 - 11.6 - celeron n3060 - 4 gb ram - 64 gb ssd dell t8tjg chrome os
782,a1261,w346,w0t00ut#aba,hp 13 inch m3-6y30 processor (0.9 ghz 4 mb cache) 4gb chromebook hp w0t00ut#aba chrome,w0s20ut#aba,hp elite x2 1012 g1 12 [in-plane switching [ips] technology brightview] 2 in 1 notebook - intel core m [6th gen] m3-6y30 dual-core [2 core] 900 mhz - hybrid - 4 gb lpddr3 ram - 128 gb (w0s20ut-aba) hp w0s20ut#aba windows 10
798,a1269,w3079,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 16gb ram 512gb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,2017,2017 lenovo thinkpad x1 carbon (5th gen) - windows 10 pro - intel core i7-7500u 180gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader (classic black) lenovo 2017 windows 10
897,a1287,w635,i5567-5734gry-pus,dell i5567-5734gry-pus 15.6 traditional laptop matte gray imr (non touch hd) dell i5567-5734gry-pus windows 10 home 64-bit english,i5579-7746gry-pus,dell - inspiron 15 5000 2-in-1 15.6-inch fhd intel core i7-8550u 8gb 2400mhz ddr4 256 gb (ssd) intel uhd graphics 620 dell i5579-7746gry-pus windows 10 home 64-bit english
898,a1287,w64,i5567-5734gry-pus,dell i5567-5734gry-pus 15.6 traditional laptop matte gray imr (non touch hd) dell i5567-5734gry-pus windows 10 home 64-bit english,i5579-7978gry-pus,dell inspiron 15.6 2-in-1 notebook i7-8550u 8gb memory 1tb hd backlit keyboar i5579-7978gry-pus dell i5579-7978gry-pus windows 10
902,a1292,w2638,80xb0002us,lenovo flex 5 15.6-inch 2-in-1 laptop (intel core i5 8 gb ram 256 gb ssd windows 10) 80xb0002us lenovo 80xb0002us windows 10 home,80x50002us,lenovo 320s-15ikb - 15.6 - core i7 7500u - 8 gb ram - 1 tb hdd lenovo 80x50002us windows 10
912,a13,w1370,i3567-5664blk-pus,dell inspiron 15.6 inch hd touchscreen flagship high performance laptop pc | intel core i5-7200u | 8gb ram | 2tb hdd | dvd +/-rw | bluetooth | wifi | windows 10 (black) dell i3567-5664blk-pus windows 10,i7567-5650blk-pus,dell - inspiron 15.6 laptop - intel core i5 - 8gb memory - nvidia geforce gtx 1050 ti - 256gb ssd i7567-5650blk-pus gaming notebook computer dell i7567-5650blk-pus microsoft windows
984,a1329,w1511,n870hp6,prostar clevo n870hp6 17.3” full hd ips matte display gaming laptop intel core i7-7700hq 32gb ddr4 gtx 1060 500gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n870hp6 windows 10,n855hj,prostar clevo n855hj 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n855hj microsoft windows 10
995,a1329,w1548,n870hp6,prostar clevo n870hp6 17.3” full hd ips matte display gaming laptop intel core i7-7700hq 32gb ddr4 gtx 1060 500gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n870hp6 windows 10,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 32gb ddr4 gtx 1050ti 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1 microsoft?? windows 10 (64-bit)??
1103,a1336,w1618,p950hr,prostar clevo p950hr 15.6 full hd ips matte display gaming laptop intel core i7-7700hq 32gb ddr4 gtx 1070 max-q 512gb nvme ssd 1tb hdd windows 10 wi-fi+bluetooth 1-year warranty prostar p950hr windows 10,p650hp6-g,prostar clevo p650hp6-g vr ready gaming 15.6 fhd/ips/matte display with g-sync intel core i7-7700hq 32gb ddr4 gtx 1060 512gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar p650hp6-g microsoft windows 10 (64-bit)
1188,a1347,w3200,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader silver color lenovo windows 10 pro,,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 20gb ram 128gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo windows 8
1205,a1347,w3243,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader silver color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 7 pro laptop - intel core i7-6600u 12gb ram 512gb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard lenovo windows 7
1238,a1347,w3300,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader silver color lenovo windows 10 pro,,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 12gb ram 1tb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo windows 8
1241,a1347,w3305,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader silver color lenovo windows 10 pro,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 12gb ram 1tb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 10
1292,a1347,w3414,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader silver color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 8.1 pro laptop - intel core i7-6600u 20gb ram 1tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard lenovo windows 8
1350,a1352,w3258,thinkpad p50,lenovo thinkpad p50 mobile workstation laptop - windows 7 pro - intel i7-6700hq 64gb ram 1tb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50 windows 7 professional,,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 8gb ram 1tb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo windows 7
1373,a1356,w2984,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i5-6200u 256gb nvme-pcie ssd 8gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo windows 7
1408,a1356,w3159,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi lenovo windows 7
1589,a1389,w838,i5567-0927gry,dell i5567-0927gry 15.6 laptop(intel core i3 (up to 2.40 ghz)8gb1tb hdd)intel hd graphics 620 fog gray dell i5567-0927gry windows 10,i5567-7291gry,dell inspiron 15.6 i7-7500u 16gb ram 1tb hdd touch laptop - i5567-7291gry + elite suite 17 standard software bundle (corel wordperfect pc moverpdf fusionx9) + 1 year extended warranty dell i5567-7291gry windows 10
1595,a1392,w614,nx.gl4aa.002;cb5-312t-k0yq,acer chromebook r 13 arm cortex-a72 2.0ghz 4gb lpddr3 64gb flash drive 13.3 fhd mt chrome os (nx.gl4aa.002;cb5-312t-k0yq) acer nx.gl4aa.002;cb5-312t-k0yq chrome,nx.gl4aa.003,acer cb5-312t-k40u 13.3 multitouch screen chromebook chrome os mediatek m8173c quad-core processor 4gb ram 64gb emmc acer nx.gl4aa.003 chrome
1638,a1402,w3019,v1h61ut#aba,hp v1h61ut#aba commercial specialty zbk3 15 i7 6500u 1t 8gb w7 10 laptop hp v1h61ut#aba windows 7 professional,v1p91ut#aba,hp inc. - sb notebooks v1p91ut#aba smart buy 1040 i5-6300u 2.4g hp v1p91ut#aba microsoft windows
1656,a1416,w2998,20jm000bus,lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64) lenovo 20jm000bus windows 7 professional,20jy000bus,lenovo thinkpad p51s - 15.6 - core i7 6500u - 16 gb ram - 512 gb ssd lenovo 20jy000bus windows 7
1664,a1416,w454,20jm000bus,lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64) lenovo 20jm000bus windows 7 professional,20jf000bus,lenovo thinkpad x1 yoga - 14 - core i5 7200u - 8 gb ram - 256 gb ssd lenovo 20jf000bus windows 10 pro (english)
1724,a1428,w3484,thinkpad p50,lenovo thinkpad p50 mobile workstation laptop - windows 7 pro - intel i7-6700hq 64gb ram 1tb ssd + 1tb hdd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50 windows 7 professional,len-15-01217-p71me14,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 4tb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me14 microsoft windows
1766,a1439,w2283,nx.gnjaa.002,r751tn-c5p3 n3350 1.1g 4gb 32gb acer nx.gnjaa.002 unknown,nx.gr5aa.002,acer aspire 3 with intel cn3350 4gb 500gb hdd acer nx.gr5aa.002 windows 10
1803,a1455,w690,1ku85ua#aba,hp 14-bw065nr 14 amd dual-core e2-9000e 4gb ddr4 32gb emmc laptop computer hp 1ku85ua#aba unknown,1ku08ua#aba,hp 15-cc020nr 15.6 laptop touchscreen windows 10 intel core i7-7500u processor 12gb ram 1tb hard drive hp 1ku08ua#aba windows 10
1807,a1459,w292,20en001eus,lenovo thinkpad p50 20en001eus 15.6-inch laptop (2.70 ghz intel core i7-6820hq 16 gb ram 256 gb ssd nvidia quadro m2000m windows 7 pro) lenovo 20en001eus windows 7 professional,20ga001eus,lenovo thinkpad yoga 11e - 11.6 - celeron n3160 - 8 gb ram - 128 gb ssd lenovo 20ga001eus windows 10
1883,a1549,w2978,,lenovo thinkpad t470p 14 high performance laptop pc (intel i7 quad core nvidia geforce 940mx 14 inch fhd (1920x1080) ips display 32gb ram 512gb ssd fingerprint win 10 pro) michaelelectronics2 windows 10,len-15-01217-p71me3,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 500gb hdd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me3 microsoft windows
1911,a1550,w3070,,hp probook 450 g5 premium 15.6 inch fhd business laptop pc (intel 8th gen i7 quad core 32gb ram 1tb hdd + 128gb ssd 15.6 fhd 1920x1080 display webcam bluetooth usb-c tpm wifi win 10 pro) michaelelectronics2 windows 10,hp-14-02398-fhd-me5,hp elitebook 840 g4 14 fhd premium ultrabook business laptop pc (intel i7 processor 16gb ram 1tb hdd + 512gb ssd 14 full hd (1920x1080) fingerprint backlit keyboard wifi bt win 10 pro) michaelelectronics2 hp-14-02398-fhd-me5 microsoft windows
1920,a1550,w812,,hp probook 450 g5 premium 15.6 inch fhd business laptop pc (intel 8th gen i7 quad core 32gb ram 1tb hdd + 128gb ssd 15.6 fhd 1920x1080 display webcam bluetooth usb-c tpm wifi win 10 pro) michaelelectronics2 windows 10,hp-17-02401-fhd-me1,hp envy 17t premium 17.3 inch touch laptop (intel 8th gen i7 quad core 16gb ram 1tb hdd + 128gb ssd nvidia geforce mx150 17.3 fhd (1920 x 1080) touchscreen dvd win 10 home) michaelelectronics2 hp-17-02401-fhd-me1 microsoft windows
2015,a1594,w373,hp envy x360 -15t laptop dark ash silver,hp envy x360 15t 2-in-1 convertible laptop pc (amd 7th gen quad-core fx 9800p apu amd radeon r7 32gb ram 1tb hdd + 512gb ssd 15.6 inch fhd (1920 x 1080) touchscreen win10) dark ash silver hp hp envy x360 -15t laptop dark ash silver ,hp-15-02336-x360-fhd-me16,hp envy x360 15t 2-in-1 convertible laptop pc (amd 7th gen quad-core fx 9800p apu amd radeon r7 graphics 32gb ram 1tb hdd+128gb ssd 15.6inch fhd (1920x1080) touchscreen win10 pro) dark ash silver michaelelectronics2 hp-15-02336-x360-fhd-me16 microsoft windows
2045,a160,w478,hp 15.6 laptop,2018 hp 15.6 inch hd touchscreen premium laptop pc intel core i5 processor 8gb ram 2tb hdd + 128gb ssd hdmi bluetooth wifi windows 10 home hp hp 15.6 laptop windows 10 home 64,hp envy x360 -15t fhd touch laptop,hp envy x360 convertible 15t fhd touch 2-in-1 premium laptop / tablet (intel i7 processor 32gb ram 2tb hdd + 1tb ssd 15.6 inch fhd (1920 x 1080) touchscreen win 10 pro) michaelelectronics2 hp envy x360 -15t fhd touch laptop microsoft windows
2072,a1602,w1256,hp - 17z laptop,hp - 17z laptop 17.3 with hd+ touchscreen ( amd dual-core a6-9220 apu amd radeon r4 graphics 16gb ram 1tb hdd 17.3inch touch screen (1600x900) wi-fi bluetooth windows 10 home ) natural silver michaelelectronics2 hp - 17z laptop windows 10,hp-15-02344-hd-me7,hp laptop - 15z touchscreen 15.6-inch (amd dual-core a6-9220 apu amd radeon r4 graphics 16gb ram 240gb ssd 15.6 hd sva wled-backlit touch (1366 x 768) display windows 10 home) silk gold michaelelectronics2 hp-15-02344-hd-me7 microsoft windows
2074,a1602,w1262,hp - 17z laptop,hp - 17z laptop 17.3 with hd+ touchscreen ( amd dual-core a6-9220 apu amd radeon r4 graphics 16gb ram 1tb hdd 17.3inch touch screen (1600x900) wi-fi bluetooth windows 10 home ) natural silver michaelelectronics2 hp - 17z laptop windows 10,hp-17-02340-hdt-me8,hp - 17z laptop 17.3 with hd+ touchscreen ( amd dual-core a6-9220 apu amd radeon r4 graphics 16gb ram 1tb hdd 17.3inch touch screen (1600x900) wi-fi bluetooth windows 10 pro ) silk gold michaelelectronics2 hp-17-02340-hdt-me8 microsoft windows
2109,a1609,w685,t8tjg,2018 dell inspiron 13.3 2 in 1 fhd ips touchscreen business laptop/tablet intel quad-core i7-8550u 8gb ddr4 256gb ssd maxxaudio backlit keyboard 802.11ac bluetooth hdmi webcam win 10 t8tjg ,t8tjg,dell chromebook 11 3189 - 11.6 - celeron n3060 - 4 gb ram - 64 gb ssd dell t8tjg chrome os
2120,a1615,w2362,nx.ghjaa.007,acer chromebook 15 celeron n3060 15.6 hd 2gb lpddr3 16gb storage cb3-532-c3f7 acer nx.ghjaa.007 chrome os,nx.gkbaa.007,acer swift 3 sf314-51-71uu - 14 - core i7 7500u - 8 gb ram - 512 gb ssd - us international acer nx.gkbaa.007 windows 10
2190,a1674,w29,1kt05ua#aba,hp envy 13.3 traditional laptop (1kt05ua#aba) hp 1kt05ua#aba windows 10,1kt69ua#aba,hp 15-br077nr 15.6 laptop touchscreen 2-in-1 windows 10 intel core i5-7200u processor 8gb ram 256gb solid state drive hp 1kt69ua#aba windows 10
2196,a1684,w1727,v2w29ut#aba,hp business chromebook v2w29ut 11.6 cb 11g4ee n2840 2g 16g hp v2w29ut#aba chrome,v2w30ut#aba,hp chromebook 11 g4 - education edition - 11.6 - celeron n2840 - 4 gb ram - 16 gb ssd hp v2w30ut#aba chrome
2240,a1700,w1664,new hp omen 17,hp omen 17 17.3'' uhd 4k vr ready gaming and business laptop (intel i7 2tb hdd + 512gb ssd 17.3 inch uhd 3840 x 2160 32gb ram geforce gtx 1070 win 10 pro) hp new hp omen 17 ,,newest hp omen 17 17.3'' uhd 4k vr ready gaming and business laptop (intel i7 2tb hdd +128gb ssd 17.3 inch uhd 3840 x 2160 16gb ram geforce gtx 1070 win 10 pro) hp microsoft windows
2399,a1728,w3143,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader black color lenovo windows 10 pro,,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 512gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo windows 8
2526,a1728,w3373,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader black color lenovo windows 10 pro,,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo windows 8
2532,a1728,w3379,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader black color lenovo windows 10 pro,,lenovo thinkpad t460s touch performance windows 10 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo windows 10
2553,a1728,w3416,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 20gb ram 1tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard lenovo windows 10
2583,a1729,w161,,hp envy x360 15t convertible 2 in 1 laptop / tablet pc (intel 8th gen i7 quad core 20gb ram 1tb hdd nvidia geforce mx150 4gb 15.6 4k uhd (3840x2160) touchscreen win 10 pro) michaelelectronics2 windows 10,hp envy x360 -15t fhd touch laptop,hp envy x360 convertible 15t fhd touch 2-in-1 premium laptop / tablet (intel i7 processor 12gb ram 1tb hdd 15.6 inch fhd (1920 x 1080) touchscreen win 10) michaelelectronics2 hp envy x360 -15t fhd touch laptop microsoft windows
2701,a1753,w72,i5379-7923gry-pus,dell - inspiron 2-in-1 13.3 touch-screen laptop - intel core i7 - 8gb ram - 256gb ssd - gray dell usa i5379-7923gry-pus windows 10,i5379-7302gry-pus,dell inspiron 13 2-in-1 laptop: core i7-8550u 256gb ssd 8gb ram 13.3 full hd touch display dell i5379-7302gry-pus windows 10
2752,a1791,w234,,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 16gb ram 512gb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 windows 10,hp-15-02336-x360-fhd-me20,hp envy x360 15t 2-in-1 convertible laptop pc (amd 7th gen quad-core fx 9800p apu amd radeon r7 graphics 32gb ram 2tb ssd 15.6 inch fhd (1920 x 1080) touchscreen win10 pro) dark ash silver michaelelectronics2 hp-15-02336-x360-fhd-me20 microsoft windows
2758,a1791,w306,,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 16gb ram 512gb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 windows 10,hp-15-02403-amd-me7,hp pavilion x360 convertible premium 15.6 yoga style 2-in-1 laptop pc (intel i5 processor 8gb ram 512gb ssd + 128gb ssd 15.6 inch fhd 1920x1080 touch display amd radeon 530 stylus win 10 home) michaelelectronics2 hp-15-02403-amd-me7 microsoft windows
2793,a1791,w384,,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 16gb ram 512gb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 windows 10,asu-14-07079-fhd-me5,asus zenbook flip ux461ua ultra-slim convertible 2-in-1 14” laptop (intel 8th gen i5 quad core 8gb ram 512gb ssd 14 full hd (1920x1080) touchscreen usb-c fingerprint stylus pen win 10 pro) michaelelectronics2 asu-14-07079-fhd-me5 microsoft windows
2856,a183,w3571,md101ll/a,apple macbook pro 13 (mid 2012) - core i5 2.5ghz 4gb ram 500gb hdd apple md101ll/a mac os x el capitan,md101lla,apple macbook pro 13.3 intel dual core i5 2.5ghz 4gb 500gb laptop - md101lla apple md101lla apple ios
2889,a1838,w2951,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i5-6200u 256gb ssd 8gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo windows 7
2896,a1838,w3029,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 8.1 pro - intel core i7-6600u 512gb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo windows 8
2909,a1838,w3060,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 128gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 8
2929,a1838,w3097,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 12gb ram 128gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo windows 8
2956,a1838,w3177,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 256gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo windows 10
2982,a1838,w3221,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 8.1 pro - intel core i7-6600u 256gb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo windows 8
3044,a1838,w3406,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader ac wifi intel hd graphics 520 lenovo windows 10 pro,,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi lenovo windows 7
3070,a186,w2456,,2018 newest premium high performance hp business probook laptop pc 15.6 fhd led-backlit dispay amd quad-core a10-9600p processor 16gb ddr4 ram 1tb hdd dvd-rw hdmi bluetooth webcam windows 10-silver hp windows 10,2017,2017 newest hp premium high performance 17.3 inch business laptop intel pentium n3710 quad-core processor 4gb memory 1tb hard drive hd webcam dvd hdmi webcam 802.11ac bluetooth window 10- turbo silver hp 2017 windows 10
