id,product title,brand,model,operating system,combo
a0,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk,acer,nh.q28aa.001,windows 10,acer predator helios 300 gaming laptop 15.6 full hd intel core i7-7700hq cpu 16gb ddr4 ram 256gb ssd geforce gtx 1060-6gb vr ready red backlit kb metal chassis g3-571-77qk nh.q28aa.001 windows
a1,acer aspire e 15 15.6 full hd 8th gen intel core i5-8250u geforce mx150 8gb ram memory 256gb ssd e5-576g-5762,acer,e5-576g-5762,windows 10,acer aspire e 15 15.6 full hd 8th gen intel core i5-8250u geforce mx150 8gb ram memory 256gb ssd e5-576g-5762 windows 10
a2,asus vivobook f510ua fhd laptop intel core i5-8250u 8gb ram 1tb hdd usb-c nanoedge display fingerprint windows 10 star gray (f510ua-ah51),asus,f510ua-ah51,windows 10,asus vivobook f510ua fhd laptop intel core i5-8250u 8gb ram 1tb hdd usb-c nanoedge display fingerprint windows 10 star gray (f510ua-ah51) asus
a3,asus c302ca-dhm4 chromebook flip 12.5-inch touchscreen convertible chromebook intel core m3 4gb ram 64gb flash storage all-metal body usb type c corning gorilla glass chrome os,asus,c302ca-dhm4,chrome,asus c302ca-dhm4 chromebook flip 12.5-inch touchscreen convertible chromebook intel core m3 4gb ram 64gb flash storage all-metal body usb type c corning gorilla glass chrome os asus
a4,asus chromebook c202sa-ys02 11.6 ruggedized and water resistant design with 180 degree (intel celeron 4 gb 16gb emmc dark blue silver),asus,c202sa-ys02,chrome,asus chromebook c202sa-ys02 11.6 ruggedized and water resistant design with 180 degree (intel celeron 4 gb 16gb emmc dark blue silver) asus
a5,samsung chromebook 3 11.6 4gb ram 16gb emmc chromebook (xe500c13-k04us),samsung,xe500c13-k04us,chrome os,samsung chromebook 3 11.6 4gb ram 16gb emmc chromebook (xe500c13-k04us) os
a6,samsung chromebook 3 11.6 4gb ram 16gb emmc chromebook (xe500c13-k04us),samsung,xe500c13-k04us,chrome os,samsung chromebook 3 11.6 4gb ram 16gb emmc chromebook (xe500c13-k04us) os
a7,hp 15.6-inch hd touchscreen laptop (intel quad core pentium n3710 1.6ghz 4gb ddr3l-1600 memory 500 gb hdd dvd burner hdmi hd webcam win 10),hp,15-bs020wm,windows 10,hp 15.6-inch hd touchscreen laptop (intel quad core pentium n3710 1.6ghz 4gb ddr3l-1600 memory 500 gb hdd dvd burner hdmi hd webcam win 10) 15-bs020wm windows
a8,hp 14 inch stream laptop intel celeron n3060 processor 4gb ram 32gb emmc 1-year office 365 personal included hdmi,hp,x7s52ua#aba,windows 10,hp 14 inch stream laptop intel celeron n3060 processor 4gb ram 32gb emmc 1-year office 365 personal included hdmi x7s52ua#aba windows 10
a9,acer nitro 5 gaming laptop intel core i5-7300hq geforce gtx 1050 ti 15.6 full hd 8gb ddr4 256gb ssd an515-51-55wl,acer,an515-51-55wl,windows 10,acer nitro 5 gaming laptop intel core i5-7300hq geforce gtx 1050 ti 15.6 full hd 8gb ddr4 256gb ssd an515-51-55wl windows
a10,2018 newest hp premium 15.6 laptop amd a6-9220 dual-core processor 2.50ghz 4gb ram 500gb hdd amd radeon r4 graphics dvd-rw hdmi bluetooth hdmi webcam windows 10 (newest model),hp,15t,windows 10,2018 newest hp premium 15.6 laptop amd a6-9220 dual-core processor 2.50ghz 4gb ram 500gb hdd amd radeon r4 graphics dvd-rw hdmi bluetooth hdmi webcam windows 10 (newest model) hp 15t
a11,dell xps9560-7001slv-pus 15.6 ultra thin and light laptop with 4k touch screen display 7th gen core i7 (up to 3.8 ghz) 16gb 512gb ssd nvidia gaming gpu gtx 1050 aluminum chassis,dell,xps9560-7001slv-pus,windows 10,dell xps9560-7001slv-pus 15.6 ultra thin and light laptop with 4k touch screen display 7th gen core i7 (up to 3.8 ghz) 16gb 512gb ssd nvidia gaming gpu gtx 1050 aluminum chassis windows
a12,apple 13.3 macbook air ( silver),apple,mlh72ll/a,mac os x,apple 13.3 macbook air ( silver) mlh72ll/a os x
a13,dell inspiron 15.6 inch hd touchscreen flagship high performance laptop pc | intel core i5-7200u | 8gb ram | 2tb hdd | dvd +/-rw | bluetooth | wifi | windows 10 (black),dell,i3567-5664blk-pus,windows 10,dell inspiron 15.6 inch hd touchscreen flagship high performance laptop pc | intel core i5-7200u | 8gb ram | 2tb hdd | dvd +/-rw | bluetooth | wifi | windows 10 (black) i3567-5664blk-pus
a14,hp stream laptop pc 14-ax020nr (intel celeron n3060 4 gb ram 32 gb emmc) with office 365 personal for one year,hp,14-ax020nr,windows 10,hp stream laptop pc 14-ax020nr (intel celeron n3060 4 gb ram 32 gb emmc) with office 365 personal for one year windows 10
a15,acer aspire 1 14 full hd intel celeron n3450 4gb ram 32gb storage windows 10 home a114-31-c4hh,acer,a114-31-c4hh,windows 10,acer aspire 1 14 full hd intel celeron n3450 4gb ram 32gb storage windows 10 home a114-31-c4hh 
a16,2018 newest dell premium business flagship laptop pc 15.6 hd led-backlit display intel i3-7100u processor 8gb ddr4 ram 1tb hdd hdmi dvd-rw bluetooth webcam maxxaudio windows 10-black,dell,,windows 10,2018 newest dell premium business flagship laptop pc 15.6 hd led-backlit display intel i3-7100u processor 8gb ddr4 ram 1tb hdd hdmi dvd-rw bluetooth webcam maxxaudio windows 10-black 
a17,acer chromebook 14 aluminum 14-inch full hd intel celeron quad-core n3160 4gb lpddr3 32gb chrome cb3-431-c5fm,acer,nx.gc2aa.007,chrome,acer chromebook 14 aluminum 14-inch full hd intel celeron quad-core n3160 4gb lpddr3 32gb chrome cb3-431-c5fm nx.gc2aa.007
a18,acer aspire r 15 2-in-1 laptop 15.6 full hd touch 7th gen intel core i7 geforce 940mx 12gb ddr4 256gb ssd r5-571tg-7229,acer,r5-571tg-7229,windows 10,acer aspire r 15 2-in-1 laptop 15.6 full hd touch 7th gen intel core i7 geforce 940mx 12gb ddr4 256gb ssd r5-571tg-7229 windows 10
a19,asus vivobook thin and light gaming laptop 15.6 full hd intel core i7-7700hq processor 16gb ddr4 ram 256gb ssd+1tb hdd geforce gtx 1050 4gb backlit keyboard - m580vd-eb76,asus,m580vd-eb76,windows 10,asus vivobook thin and light gaming laptop 15.6 full hd intel core i7-7700hq processor 16gb ddr4 ram 256gb ssd+1tb hdd geforce gtx 1050 4gb backlit keyboard - m580vd-eb76 asus windows
a20,microsoft surface book 2 (intel core i7 16gb ram 512gb) - 15,microsoft,fux-00001,windows 10 pro,microsoft surface book 2 (intel core i7 16gb ram 512gb) - 15 fux-00001 windows 10 pro
a21,2018 dell inspiron 15 5000 flagship 15.6 inch full hd touchscreen backlit keyboard laptop pc intel core i5-8250u quad-core 8gb ddr4 1tb hdd dvd rw bluetooth 4.2 wifi windows 10,dell,t8tjg,windows 10,2018 dell inspiron 15 5000 flagship 15.6 inch full hd touchscreen backlit keyboard laptop pc intel core i5-8250u quad-core 8gb ddr4 1tb hdd dvd rw bluetooth 4.2 wifi windows 10 t8tjg
a22,dell i7577-5241blk-pus inspiron led display gaming laptop - 7th gen intel core i5 gtx 1060 6gb graphics 8gb memory 128gb ssd + 1tb hdd 15.6 matte black,dell,i7577-5241blk-pus,windows 10 home,dell i7577-5241blk-pus inspiron led display gaming laptop - 7th gen intel core i5 gtx 1060 6gb graphics 8gb memory 128gb ssd + 1tb hdd 15.6 matte black windows home
a23,msi gl62m 7rex-1896us 15.6 full hd thin and light gaming laptop computer quad core i7-7700hq geforce gtx 1050ti 4g graphics 8gb dram 128gb ssd + 1tb hard drive steelseries red backlit keyboard,msi,gl62m 7rex-1896us,windows 10 home,msi gl62m 7rex-1896us 15.6 full hd thin and light gaming laptop computer quad core i7-7700hq geforce gtx 1050ti 4g graphics 8gb dram 128gb ssd + 1tb hard drive steelseries red backlit keyboard windows home
a24,asus vivobook pro thin & light laptop 17 full hd intel i7-8550u processor 16gb ram 256gb ssd + 1tb hdd nvidia gaming geforce gtx 1050backlit keyboard windows 10 star gray n705ud-eh76,asus,n705ud-eh76,windows 10,asus vivobook pro thin & light laptop 17 full hd intel i7-8550u processor 16gb ram 256gb ssd + 1tb hdd nvidia gaming geforce gtx 1050backlit keyboard windows 10 star gray n705ud-eh76 asus
a25,dell inspiron 13 5000 2-in-1 - 13.3 touch display - 8th gen intel core i5-8250u - 8gb memory - 1 tb hard drive - theoretical gray (i5379-5043gry-pus),dell,i5379-5043gry-pus,windows 10,dell inspiron 13 5000 2-in-1 - 13.3 touch display - 8th gen intel core i5-8250u - 8gb memory - 1 tb hard drive - theoretical gray (i5379-5043gry-pus) windows 10
a26,apple macbook pro mjlq2ll/a 15-inch laptop (2.2 ghz intel core i7 processor 16gb ram 256 gb hard drive mac os x) ,apple,mjlq2ll/a,mac os x,apple macbook pro mjlq2ll/a 15-inch laptop (2.2 ghz intel core i7 processor 16gb ram 256 gb hard drive mac os x) 
a27,2018 lenovo business flagship laptop pc 15.6 anti-glare touchscreen intel 8th gen i5-8250u quad-core processor 12gb ddr4 ram 1tb hdd dvd-rw webcam hdmi dolby audio windows 10,lenovo_320,t8tjg,windows 10,2018 lenovo business flagship laptop pc 15.6 anti-glare touchscreen intel 8th gen i5-8250u quad-core processor 12gb ddr4 ram 1tb hdd dvd-rw webcam hdmi dolby audio windows 10 lenovo_320 t8tjg windows
a28,asus fx503vm 15.6” fhd powerful gaming laptop intel core i7-7700hq quad-core 2.8ghz (turbo up to 3.8ghz) 3gb gtx 1060 128gb ssd + 1tb hdd 16gb ddr4 windows 10,asus,fx503vm-eh73,windows 10,asus fx503vm 15.6” fhd powerful gaming laptop intel core i7-7700hq quad-core 2.8ghz (turbo up to 3.8ghz) 3gb gtx 1060 128gb ssd + 1tb hdd 16gb ddr4 windows 10 asus fx503vm-eh73
a29,microsoft surface book 13.5 i5 256gb multi-touch 2-in-1 notebook (silver),microsoft,sx3-00001,windows 10,microsoft surface book 13.5 i5 256gb multi-touch 2-in-1 notebook (silver) sx3-00001 windows 10
a30,dell xps 13 9360 laptop (13.3 infinityedge touchscreen fhd (1920x1080) intel 8th gen quad-core i5-8250u 128gb m.2 ssd 8gb ram backlit keyboard windows 10)- silver,dell,dell xps 13 9360 touch laptop,windows 10,dell xps 13 9360 laptop (13.3 infinityedge touchscreen fhd (1920x1080) intel 8th gen quad-core i5-8250u 128gb m.2 ssd 8gb ram backlit keyboard windows 10)- silver 
a31,hp pavilion power gtx 1050 gaming laptop - 15 full hd intel core i7-7700hq 8gb ram 128gb ssd + 1tb hdd windows 10 home black - 15-cb077nr,hp,15-cb077nr,windows 10,hp pavilion power gtx 1050 gaming laptop - 15 full hd intel core i7-7700hq 8gb ram 128gb ssd + 1tb hdd windows 10 home black - 15-cb077nr 
a32,dell inspiron 15 7000 series gaming edition 7567 15.6-inch full hd screen laptop - intel core i5-7300hq 1 tb hybrid hdd 8gb ddr4 memory nvidia gtx 1050 4gb graphics windows 10,pc,dell inspiron i7567,windows 10 home,dell inspiron 15 7000 series gaming edition 7567 15.6-inch full hd screen laptop - intel core i5-7300hq 1 tb hybrid hdd 8gb ddr4 memory nvidia gtx 1050 4gb graphics windows 10 pc i7567 home
a33,hp notebook laptop 15.6 hd vibrant display quad core amd e2-7110 apu 1.8ghz 4gb ram 500gb hdd dvd windows 10,hp,hp notebook 15,windows 10,hp notebook laptop 15.6 hd vibrant display quad core amd e2-7110 apu 1.8ghz 4gb ram 500gb hdd dvd windows 10 hp notebook
a34,asus chromebook flip c101pa-db02 10.1inch rockchip rk3399 quad-core processor 2.0ghz 4gb memory16gb all metal bodylightweight usb type-c google play store ready to run android apps touchscreen,asus,c101pa-db02,chrome,asus chromebook flip c101pa-db02 10.1inch rockchip rk3399 quad-core processor 2.0ghz 4gb memory16gb all metal bodylightweight usb type-c google play store ready to run android apps touchscreen asus
a35,apple mpdl2ll/a 13 macbook pro retina touch bar 3.3ghz intel i7 dual core 16gb ram 512gb pcie ssd intel iris 550 silver,apple,mpdl2ll/a,macos high sierra,apple mpdl2ll/a 13 macbook pro retina touch bar 3.3ghz intel i7 dual core 16gb ram 512gb pcie ssd intel iris 550 silver macos high sierra
a36,razer blade ultra-thin gaming laptop - 14 full hd (core i7-7700hq 16gb ram 512tb ssd geforce gtx 1060) - vr ready,razer,rz09-01953e72-r3u1,windows 10 home,razer blade ultra-thin gaming laptop - 14 full hd (core i7-7700hq 16gb ram 512tb ssd geforce gtx 1060) - vr ready rz09-01953e72-r3u1 windows home
a37,hp notebook 15.6 inch touchscreen premium laptop pc (2017 version) 7th gen intel core i3-7100u 2.4ghz processor 8gb ddr4 ram 1tb hdd supermulti dvd burner bluetooth windows 10,hp,fba_796000000000,windows 10 home 64,hp notebook 15.6 inch touchscreen premium laptop pc (2017 version) 7th gen intel core i3-7100u 2.4ghz processor 8gb ddr4 ram 1tb hdd supermulti dvd burner bluetooth windows 10 hp fba_796000000000 home 64
a38,2018 lenovo ideapad 320 15.6? laptop with 3x faster wifi intel celeron dual core n3350 processor up to 2.40ghz 4gb ram 1tb hdd dvd-rw hdmibluetooth webcam win 10,lenovo,80xr00agus,windows 10,2018 lenovo ideapad 320 15.6? laptop with 3x faster wifi intel celeron dual core n3350 processor up to 2.40ghz 4gb ram 1tb hdd dvd-rw hdmibluetooth webcam win 10 80xr00agus windows
a39,hp pavilion 14 hd notebook (2018 newest) intel core i5-7200u processor up to 3.10 ghz 8gb ddr4 1tb hard drive no dvd webcam backlit keyboard bluetooth windows 10 home,hp-14-inch-i5-8gb-1tb,hp-14-inch-i5-8gb-1tb,windows 10,hp pavilion 14 hd notebook (2018 newest) intel core i5-7200u processor up to 3.10 ghz 8gb ddr4 1tb hard drive no dvd webcam backlit keyboard bluetooth windows 10 home hp-14-inch-i5-8gb-1tb hp-14-inch-i5-8gb-1tb
a40,2018 hp business 15.6-inch hd touchscreen laptop pc quad-core amd a12 processor up to 3.6ghz 8gb ddr4 sdram 1tb hdd webcam hdmi dvd±rw amd radeon r7 graphics dts studio sound windows 10,hp,hp 15.6 touchscreen,windows 10,2018 hp business 15.6-inch hd touchscreen laptop pc quad-core amd a12 processor up to 3.6ghz 8gb ddr4 sdram 1tb hdd webcam hdmi dvd±rw amd radeon r7 graphics dts studio sound windows 10 hp
a41,asus fx503vd 15.6” fhd powerful gaming laptop intel core i7-7700hq quad-core 2.8ghz (turbo up to 3.8ghz) processor 4gb gtx 1050 128gb ssd + 1tb hdd 8gb ddr4 windows 10 home,asus computers,fx503vd-eh73,windows 10,asus fx503vd 15.6” fhd powerful gaming laptop intel core i7-7700hq quad-core 2.8ghz (turbo up to 3.8ghz) processor 4gb gtx 1050 128gb ssd + 1tb hdd 8gb ddr4 windows 10 home computers fx503vd-eh73
a42,asus zenbook ux430ua-dh74 ultra-slim laptop 14” fhd wideview display 8th gen intel core i7 processor 16gb ddr3 512gb ssd windows 10 backlit keyboard quartz grey,asus,ux430ua-dh74,windows 10,asus zenbook ux430ua-dh74 ultra-slim laptop 14” fhd wideview display 8th gen intel core i7 processor 16gb ddr3 512gb ssd windows 10 backlit keyboard quartz grey asus
a43,lenovo ideapad 15.6 hd flagship high performance laptop pc | a6-7310 quad-core | 4gb ram | 500gb hdd | dvd+/-rw | hdmi | windows 10,lenovo ideapad,lenovo ideapad,windows 10,lenovo ideapad 15.6 hd flagship high performance laptop pc | a6-7310 quad-core | 4gb ram | 500gb hdd | dvd+/-rw | hdmi | windows 10 
a44,acer chromebook cb3-131-c3sz 11.6-inch laptop (intel celeron n2840 dual-core processor2 gb ram16 gb solid state drivechrome) white,acer,cb3-131-c3sz,chrome,acer chromebook cb3-131-c3sz 11.6-inch laptop (intel celeron n2840 dual-core processor2 gb ram16 gb solid state drivechrome) white 
a45,asus rog zephyrus gx501 15.6” full-hd 120hz ultra-portable gaming laptop gtx 1080 intel core i7 512gb pcie ssd 16gb ddr4,asus,gx501vi-xs74,windows 10 pro,asus rog zephyrus gx501 15.6” full-hd 120hz ultra-portable gaming laptop gtx 1080 intel core i7 512gb pcie ssd 16gb ddr4 asus gx501vi-xs74 windows pro
a46,acer predator 17 gaming laptop core i7 geforce gtx 1070 17.3 full hd g-sync 16gb ddr4 256gb ssd 1tb hdd g9-793-79v5,acer,g9-793-79v5,windows 10,acer predator 17 gaming laptop core i7 geforce gtx 1070 17.3 full hd g-sync 16gb ddr4 256gb ssd 1tb hdd g9-793-79v5 windows
a47,apple macbook pro mlh12ll/a 13-inch laptop with touch bar 2.9ghz dual-core intel core i5 256gb retina display space gray (discontinued by manufacturer),apple,mlh12ll/a,mac os sierra,apple macbook pro mlh12ll/a 13-inch laptop with touch bar 2.9ghz dual-core intel core i5 256gb retina display space gray (discontinued by manufacturer) os sierra
a48,asus rog strix gl702vs 17.3 full hd ultra thin and light gaming laptop75hz g-sync display geforce gtx 1070 8gb intel i7-7700hq 2.8 ghz 12gb ddr4 ram 128gb ssd + 1tb 7200 rpm hdd,asus,gl702vs-ah73,windows 10,asus rog strix gl702vs 17.3 full hd ultra thin and light gaming laptop75hz g-sync display geforce gtx 1070 8gb intel i7-7700hq 2.8 ghz 12gb ddr4 ram 128gb ssd + 1tb 7200 rpm hdd asus gl702vs-ah73 windows
a49,asus vivobook e203na-ys02 11.6” featherweight design laptop intel dual-core celeron n3350 2.4ghz processor 4gb ddr3 ram 64gb emmc storage app based windows 10 s,asus,e203na-ys02,windows 10 s,asus vivobook e203na-ys02 11.6” featherweight design laptop intel dual-core celeron n3350 2.4ghz processor 4gb ddr3 ram 64gb emmc storage app based windows 10 s asus
a50,asus rog strix gaming laptop gtx 1050 4gb intel core i7 15.6” ips-type fhd display 16gb ddr4 1tb firecuda sshd rgb keyboard gl503vd,asus,gl503vd-db71,windows 10,asus rog strix gaming laptop gtx 1050 4gb intel core i7 15.6” ips-type fhd display 16gb ddr4 1tb firecuda sshd rgb keyboard gl503vd asus gl503vd-db71 windows
a51,asus vivobook s full hd laptop intel core i7-8550u nvidia geforce mx150 8gb ram 256gb ssd + 1tb hdd windows 10 15.6 s510un-eh76,asus,s510un-eh76,windows 10,asus vivobook s full hd laptop intel core i7-8550u nvidia geforce mx150 8gb ram 256gb ssd + 1tb hdd windows 10 15.6 s510un-eh76 asus
a52,asus l402wa-eh21 thin and light 14” hd laptop; amd e2-6110 quad core 1.5ghz processoramd radeon r2 graphics4gb ram32gb emmc flash storagewindows 10 s with free 1yr office 365 subscription included,asus,l402wa-eh21,windows 10 s,asus l402wa-eh21 thin and light 14” hd laptop; amd e2-6110 quad core 1.5ghz processoramd radeon r2 graphics4gb ram32gb emmc flash storagewindows 10 s with free 1yr office 365 subscription included asus
a53,2018 newest acer r11 11.6 convertible hd ips touchscreen chromebook intel celeron dual core up to 2.48ghz 4gb ram 16gb ssd 802.11ac bluetooth hdmi usb 3.0 webcam chrome os,acer,,chrome os,2018 newest acer r11 11.6 convertible hd ips touchscreen chromebook intel celeron dual core up to 2.48ghz 4gb ram 16gb ssd 802.11ac bluetooth hdmi usb 3.0 webcam chrome os 
a54,dell inspiron i3162-0003blu 11.6 hd laptop (intel celeron n3060 4gb ram32 emmc hdd) bali blue,dell,i3162-0003blu,windows 10,dell inspiron i3162-0003blu 11.6 hd laptop (intel celeron n3060 4gb ram32 emmc hdd) bali blue windows 10
a55,alienware aw17r4-7003slv-pus 17 gaming laptop (7th generation intel core i7 8gb ram 256gb ssd + 1tb hdd silver) with nvidia gtx 1060,alienware,aw17r4-7003slv-pus,windows 10,alienware aw17r4-7003slv-pus 17 gaming laptop (7th generation intel core i7 8gb ram 256gb ssd + 1tb hdd silver) with nvidia gtx 1060 windows
a56,asus zenbook ux550ve-db71t 15.6-inch nanoedge fhd touch laptop (core i7 gtx 1050ti 16gb ddr4 pcie nvme 512gb ssd windows 10) backlit keyboard fingerprint reader black gaming,asus,ux550ve-db71t,windows 10,asus zenbook ux550ve-db71t 15.6-inch nanoedge fhd touch laptop (core i7 gtx 1050ti 16gb ddr4 pcie nvme 512gb ssd windows 10) backlit keyboard fingerprint reader black gaming asus
a57,apple 13.3 macbook air 128gb ssd #mqd32ll/a (version 2017 model) starter bundle,apple,t8tjg,mac os x,apple 13.3 macbook air 128gb ssd #mqd32ll/a (version 2017 model) starter bundle t8tjg os x
a58,acer chromebook 15 cb5-571-c09s (15.6-inch full hd ips 4gb ram 32gb ssd),acer,cb5-571-c09s,chrome os,acer chromebook 15 cb5-571-c09s (15.6-inch full hd ips 4gb ram 32gb ssd) os
a59,acer chromebook 15 cb515-1ht-p39b pentium n4200 15.6 full hd touch 4gb lpddr4 32gb storage pure silver,acer,cb515-1ht-p39b,chrome,acer chromebook 15 cb515-1ht-p39b pentium n4200 15.6 full hd touch 4gb lpddr4 32gb storage pure silver 
a60,acer swift 3 8th gen intel core i5-8250u 15.6 full hd 8gb ddr4 256gb ssd windows 10 home sf315-51-518s,acer,sf315-51-518s,windows 10,acer swift 3 8th gen intel core i5-8250u 15.6 full hd 8gb ddr4 256gb ssd windows 10 home sf315-51-518s 
a61,msi gl72m 7rdx-800 17.3 performance gaming laptop i7-7700hq gtx 1050 2g 8gb 128gb ssd+1tb steelseries red kb,msi,gl72m 7rdx-800,windows 10 home,msi gl72m 7rdx-800 17.3 performance gaming laptop i7-7700hq gtx 1050 2g 8gb 128gb ssd+1tb steelseries red kb windows home
a62,2018 dell inspiron 13 5000 2-in-1 13.3 inch full hd touchscreen flagship backlit keyboard laptop pc intel core i7-8550u quad-core 8gb ddr4 256gb ssd 2 usb 3.1 windows 10,dell,t8tjg,windows 10,2018 dell inspiron 13 5000 2-in-1 13.3 inch full hd touchscreen flagship backlit keyboard laptop pc intel core i7-8550u quad-core 8gb ddr4 256gb ssd 2 usb 3.1 windows 10 t8tjg
a63,asus chromebook flip c213sa-ys02 11.6 inch ruggedized & spill proof touchscreen intel dual-core apollo lake n3350 4gb ddr4 ram 32gb flash storage usb type-c supports android apps,asus,c213sa-ys02,chrome,asus chromebook flip c213sa-ys02 11.6 inch ruggedized & spill proof touchscreen intel dual-core apollo lake n3350 4gb ddr4 ram 32gb flash storage usb type-c supports android apps asus
a64,hp flagship 15.6 hd touchscreen signature laptop - intel core i3-7100u 2.40 ghz 8 gb ddr4 memory 1 tb hdd dvd burner hdmi hd webcam bluetooth win 10,hp,j9148a,windows 10,hp flagship 15.6 hd touchscreen signature laptop - intel core i3-7100u 2.40 ghz 8 gb ddr4 memory 1 tb hdd dvd burner hdmi hd webcam bluetooth win 10 hp j9148a windows
a65,hp touchscreen 15.6 inch hd notebook (2018 newest) latest intel core i5-8250u processor up to 3.40 ghz 8gb ddr4 2tb hard drive optical drive webcam backlit keyboard bluetooth windows 10 home,hp,hp-15.6-touch-i5-8250u-8gb-1tb,windows 10,hp touchscreen 15.6 inch hd notebook (2018 newest) latest intel core i5-8250u processor up to 3.40 ghz 8gb ddr4 2tb hard drive optical drive webcam backlit keyboard bluetooth windows 10 home hp-15.6-touch-i5-8250u-8gb-1tb
a66,dell i7577-7425blk-pus inspiron uhd display gaming laptop - 7th gen intel core i7 gtx 1060 6gb graphics 16gb memory 128gb ssd + 1tb hdd 15.6 matte black,dell,i7577-7425blk-pus,windows 10,dell i7577-7425blk-pus inspiron uhd display gaming laptop - 7th gen intel core i7 gtx 1060 6gb graphics 16gb memory 128gb ssd + 1tb hdd 15.6 matte black windows
a67,acer chromebook r 13 convertible 13.3-inch full hd touch mediatek mt8173c 4gb lpddr3 32gb chrome cb5-312t-k5x4,acer,cb5-312t-k5x4,chrome,acer chromebook r 13 convertible 13.3-inch full hd touch mediatek mt8173c 4gb lpddr3 32gb chrome cb5-312t-k5x4 
a68,asus gx501vs-xs71 rog zephyrus gx501 15.6” full-hd 120hz ultra-portable gaming laptop gtx 1070 intel core i7 256gb pcie ssd 16gb ddr4,asus,gx501vs-xs71,windows 10 pro,asus gx501vs-xs71 rog zephyrus gx501 15.6” full-hd 120hz ultra-portable gaming laptop gtx 1070 intel core i7 256gb pcie ssd 16gb ddr4 asus windows pro
a69,asus vivobook 15 x510uq thin and lightweight fhd gaming laptop intel core i7-7500u processor nvidia geforce 940mx graphics 8gb ddr4 ram 1tb hdd usb type-c nanoedge wideview display windows 10,asus,x510uq-nh71,windows 10,asus vivobook 15 x510uq thin and lightweight fhd gaming laptop intel core i7-7500u processor nvidia geforce 940mx graphics 8gb ddr4 ram 1tb hdd usb type-c nanoedge wideview display windows 10 asus x510uq-nh71
a70,hp pavilion laptop pc notebook intel core i3-7100u 8gb ddr4 1tb hdd 15.6 hd touchscreen dvd-writer card reader wifi bluetooth windows 10,hp,hp notebook 15,windows 10,hp pavilion laptop pc notebook intel core i3-7100u 8gb ddr4 1tb hdd 15.6 hd touchscreen dvd-writer card reader wifi bluetooth windows 10 
a71,microsoft surface laptop (intel core i5 8gb ram 256gb) - platinum,microsoft,dag-00001,windows 10 s,microsoft surface laptop (intel core i5 8gb ram 256gb) - platinum dag-00001 windows 10
a72,msi gl62m 7rdx-1408 15.6 full hd thin & light performance gaming laptop computer quad core i7-7700hq geforce gtx 1050 2g graphics 8gb dram 128gb ssd+1tb hard drive steelseries red backlit kb,msi,gl62m 7rdx-1408,windows 10 home,msi gl62m 7rdx-1408 15.6 full hd thin & light performance gaming laptop computer quad core i7-7700hq geforce gtx 1050 2g graphics 8gb dram 128gb ssd+1tb hard drive steelseries red backlit kb windows home
a73,lenovo ideapad 15.6 hd premium high performance laptop (2017 newest) amd a12-9720p quad core processor 2.7ghz 8gb ddr4 1tb hdd dvd webcam wifibluetooth windows 10 platinum gray,lenovo,lenovo-a12-laptop,windows 10,lenovo ideapad 15.6 hd premium high performance laptop (2017 newest) amd a12-9720p quad core processor 2.7ghz 8gb ddr4 1tb hdd dvd webcam wifibluetooth windows 10 platinum gray lenovo-a12-laptop
a74,hp chromebook 11 g5 11.6 celeron 4gb 16gb x9u02ut,hp,x9u02ut#aba,chrome,hp chromebook 11 g5 11.6 celeron 4gb 16gb x9u02ut x9u02ut#aba
a75,newest lenovo 320 business premium laptop pc 15.6 fhd(1920x1080) display intel i7-7500u 2.7ghz processor 12gb ddr4 ram 256gb ssd nvidia geforce 940mx dolby audio hdmi bluetooth dvd±r/rw windows 10,lenovo,t8tjg,windows 10,newest lenovo 320 business premium laptop pc 15.6 fhd(1920x1080) display intel i7-7500u 2.7ghz processor 12gb ddr4 ram 256gb ssd nvidia geforce 940mx dolby audio hdmi bluetooth dvd±r/rw windows 10 t8tjg
a76,alienware gaming laptop 15.6 full hd intel core i7-7700hq 16gb ddr4 ram 256gb ssd + 1tb hdd geforce gtx 1070 vr ready silver aw15r3-7003slv-pus,alienware,aw15r3-7003slv-pus,windows 10,alienware gaming laptop 15.6 full hd intel core i7-7700hq 16gb ddr4 ram 256gb ssd + 1tb hdd geforce gtx 1070 vr ready silver aw15r3-7003slv-pus windows
a77,2017 hp 17.3 business flagship laptop pc hd+ wled-backlit display intel i3-7100u processor 8gb ddr4 ram 1tb hdd intel 520 graphics dvd-rw 802.11ac wifi webcam hdmi windows 10-silver,hp,hp 15,windows 10,2017 hp 17.3 business flagship laptop pc hd+ wled-backlit display intel i3-7100u processor 8gb ddr4 ram 1tb hdd intel 520 graphics dvd-rw 802.11ac wifi webcam hdmi windows 10-silver hp 15
a78,lg gram thin & light laptop - 15.6 fhd ips touch core i7 (8th gen) 16gb ram 1tb ssd 2.5lbs up to 16.5 hrs thunderbolt 3 finger print reader windows 10 home - 15z980-r.aas9u1 (2018 model),lg,15z980-r.aas9u1,windows 10,lg gram thin & light laptop - 15.6 fhd ips touch core i7 (8th gen) 16gb ram 1tb ssd 2.5lbs up to 16.5 hrs thunderbolt 3 finger print reader windows 10 home - 15z980-r.aas9u1 (2018 model) 
