id,product title,brand,model,operating system,combo
a2655,cuk asus n705ud vivobook pro thin & light laptop 17 full hd intel i7-8550u processor 32gb ram 500gb ssd + 1tb hdd nvidia gaming geforce gtx 1050 backlit keyboard windows 10 star gray,computer upgrade king,n705ud,windows 10 home,cuk asus n705ud vivobook pro thin & light laptop 17 full hd intel i7-8550u processor 32gb ram 500gb ssd + 1tb hdd nvidia gaming geforce gtx 1050 backlit keyboard windows 10 star gray computer upgrade king home
a2656,2016 dell inspiron 15 15.6-inch touchscreen flagship laptop amd a10-8700p 8gb 1tb hdd dvdrw radeon r6 graphics hdmi bluetooth win 10- silver,dell,i5555-2866slv,win 10,2016 dell inspiron 15 15.6-inch touchscreen flagship laptop amd a10-8700p 8gb 1tb hdd dvdrw radeon r6 graphics hdmi bluetooth win 10- silver i5555-2866slv
a2657,2016 hp pavilion 15.6 full hd high performance laptop intel core i5-6200u processor 6gb ram 1tb hdd 7.5-hour battery life dvd+/-rw webcam wifi hdmi windows 10,hp,pavilion 15,windows 10,2016 hp pavilion 15.6 full hd high performance laptop intel core i5-6200u processor 6gb ram 1tb hdd 7.5-hour battery life dvd+/-rw webcam wifi hdmi windows 10 
a2658,vaio z laptop (intel core i7-6567u 8gb memory 256gb ssd wqhd display windows 10 pro),vaio,vjz131x0111s,windows 10,vaio z laptop (intel core i7-6567u 8gb memory 256gb ssd wqhd display windows 10 pro) vjz131x0111s
a2659,hp 15-inch laptop intel pentium n3710 4gb ram 1tb hard drive windows 10 (15-bs010nr gray),hp,15-bs010nr,windows 10,hp 15-inch laptop intel pentium n3710 4gb ram 1tb hard drive windows 10 (15-bs010nr gray) 
a2660,premium 2018 newest hp envy x360 15.6 inch fhd flagship touchscreen laptop (amd quad-core ryzen 5 2500u 8gb ddr4 ram 128gb ssd + 1tb hdd backlit keyboard b&o speakers hd webcam windows 10),hp,hp,windows 10,premium 2018 newest hp envy x360 15.6 inch fhd flagship touchscreen laptop (amd quad-core ryzen 5 2500u 8gb ddr4 ram 128gb ssd + 1tb hdd backlit keyboard b&o speakers hd webcam windows 10) 
a2661,dell inspiron 14-inch hd (1366 x 768) led-backlit display laptop pc | intel celeron 1.6ghz | 2gb ram | 32gb emmc | hdmi | wifi | bluetooth | webcam | maxxaudio pro | windows 10 | black,dell,dell inspirion 3000,windows 10,dell inspiron 14-inch hd (1366 x 768) led-backlit display laptop pc | intel celeron 1.6ghz | 2gb ram | 32gb emmc | hdmi | wifi | bluetooth | webcam | maxxaudio pro | windows 10 | black dell inspirion 3000
a2662,dell inspiron 15 7000 series gaming edition 15.6-inch 4k ultra hd touchscreen laptop - intel core i7-6500hq 256gb ssd 16gb memory nvidia gtx 960m 4gb windows 10,pc,dell inspiron i7559,windows 10,dell inspiron 15 7000 series gaming edition 15.6-inch 4k ultra hd touchscreen laptop - intel core i7-6500hq 256gb ssd 16gb memory nvidia gtx 960m 4gb windows 10 pc i7559
a2663,hp turbo silver 15.6 15-ac143wm laptop pc with intel core i5-5200u processor 6gb memory 1tb hard drive and windows 10 home,hp,n5z06ua,windows 10,hp turbo silver 15.6 15-ac143wm laptop pc with intel core i5-5200u processor 6gb memory 1tb hard drive and windows 10 home n5z06ua
a2664,smart buy 255 g6 a6-9220 4gb,hp,1lb16ut,unknown,smart buy 255 g6 a6-9220 4gb hp 1lb16ut unknown
